,name,car_type,year,image,price
735,포르쉐 파나메라,대형 세단,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220623_38%2Fauto_1655947924650Khf84_PNG%2F20220623103153_8IaqaUpv.png,"15,030~30,810만원 보험료계산 광고
정보확인 내용 열고 닫기"
736,포르쉐 파나메라,대형 세단,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220623_38%2Fauto_1655947924650Khf84_PNG%2F20220623103153_8IaqaUpv.png,"15,030~30,810만원 보험료계산 광고
정보확인 내용 열고 닫기"
737,포르쉐 718 박스터,스포츠카 컨버터블,2019,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180214_44%2Fauto_1518587418860XydJs_PNG%2F20180214145007_AO1MTDzx.png,"8,960~10,130만원 보험료계산 광고
정보확인 내용 열고 닫기"
738,포르쉐 911,스포츠카 컨버터블,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_259%2Fauto_1697181101284905k4_PNG%2F20231013161128_mxgK1VBA.png,"32,600만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
739,포르쉐 911,스포츠카 컨버터블,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_259%2Fauto_1697181101284905k4_PNG%2F20231013161128_mxgK1VBA.png,"32,600만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
740,포르쉐 마칸,중형 SUV,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_234%2Fauto_1697181233702MfAfe_PNG%2F20231013161343_MNqrhYFy.png,"10,780만원 보험료계산 광고
정보확인 내용 열고 닫기"
741,포르쉐 타이칸,준대형 왜건,2025,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240207_265%2Fauto_1707286060453YG3B7_PNG%2F20240207150731_19XsII6i.png,"14,410~21,220만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
742,포르쉐 박스터,스포츠카 컨버터블,2019,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20180214_44%2Fauto_1518587418860XydJs_PNG%2F20180214145007_AO1MTDzx.png,"8,960~10,130만원 보험료계산 광고
정보확인 내용 열고 닫기"
743,포르쉐 카이맨,스포츠카 쿠페,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20231013_139%2Fauto_16971815965932C7Xi_PNG%2F20231013161939_m3B9KCk4.png,"13,050만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
744,포르쉐 카레라 GT,스포츠카 컨버터블,2006,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_85%2Fauto_1497939301054Ix8PY_PNG%2F12257_2006___GT.png,"88,000만원 보험료계산 광고
정보확인 내용 열고 닫기"
745,포톤 툰랜드,대형 트럭,2015,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170526_178%2Fauto_1495798226255j8WbW_PNG%2F60649_2015__.png,"22,490~30,990호주달러 보험료계산 광고
정보확인 내용 열고 닫기"
746,폭스바겐 티구안 올스페이스,준중형 SUV,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_277%2Fauto_1714017809192pCbX3_PNG%2F20240425130314_Ceac9ElN.png,"5,374만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
747,폭스바겐 뉴 티구안,준중형 SUV,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_277%2Fauto_1714017809192pCbX3_PNG%2F20240425130314_Ceac9ElN.png,"5,374만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
748,폭스바겐 티구안,준중형 SUV,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_277%2Fauto_1714017809192pCbX3_PNG%2F20240425130314_Ceac9ElN.png,"5,374만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
749,폭스바겐 골프 8세대,준중형 해치백,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220105_93%2Fauto_1641343978307AkLxg_PNG%2F20220105095246_YMF4IpRh.png,"3,625~3,782만원 보험료계산 광고
정보확인 내용 열고 닫기"
750,폭스바겐 골프 7세대,준중형 해치백,2017,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170523_219%2Fauto_1495542679049mnHy1_PNG%2F67133_2017--.png,"24,350유로 보험료계산 광고
정보확인 내용 열고 닫기"
751,폭스바겐 골프 6세대,준중형 해치백,2012,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170529_103%2Fauto_1496048108521uwJtX_PNG%2F16048_2012__.png,"3,110~3,310만원 보험료계산 광고
정보확인 내용 열고 닫기"
752,폭스바겐 골프 5세대,준중형 해치백,2008,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_23%2Fauto_149793927786710itD_PNG%2F10954_2008__.png,"3,070만원 보험료계산 광고
정보확인 내용 열고 닫기"
753,폭스바겐 아테온,중형 세단,2023,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240425_139%2Fauto_17140170494057K0Gk_PNG%2F20240425125040_ioz5qiLK.png,"5,880~6,370만원 보험료계산 광고
정보확인 내용 열고 닫기"
754,폭스바겐 파사트 GT,중형 세단,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220112_82%2Fauto_1641962434084A97aH_PNG%2F20220112134021_D9OoC7Fw.png,"4,312~5,147만원 보험료계산 광고
정보확인 내용 열고 닫기"
755,폭스바겐 더 뉴 파사트,중형 세단,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220112_82%2Fauto_1641962434084A97aH_PNG%2F20220112134021_D9OoC7Fw.png,"4,312~5,147만원 보험료계산 광고
정보확인 내용 열고 닫기"
756,폭스바겐 뉴 파사트,중형 세단,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220112_82%2Fauto_1641962434084A97aH_PNG%2F20220112134021_D9OoC7Fw.png,"4,312~5,147만원 보험료계산 광고
정보확인 내용 열고 닫기"
757,폭스바겐 파사트,중형 세단,2022,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220112_82%2Fauto_1641962434084A97aH_PNG%2F20220112134021_D9OoC7Fw.png,"4,312~5,147만원 보험료계산 광고
정보확인 내용 열고 닫기"
758,폭스바겐 뉴 제타,준중형 세단,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240510_7%2Fauto_17153033968408QDnd_PNG%2F20240510100945_wOyBwP7f.png,"3,426~3,810만원 보험료계산 광고
정보확인 내용 열고 닫기"
759,폭스바겐 제타,준중형 세단,2024,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240510_7%2Fauto_17153033968408QDnd_PNG%2F20240510100945_wOyBwP7f.png,"3,426~3,810만원 보험료계산 광고
정보확인 내용 열고 닫기"
760,폭스바겐 뉴 투아렉,준대형 SUV,2025,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240710_178%2Fauto_1720583305206nY068_PNG%2F20240710124805_BgpEJNha.png,"10,099~10,699만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
761,폭스바겐 투아렉,준대형 SUV,2025,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240710_178%2Fauto_1720583305206nY068_PNG%2F20240710124805_BgpEJNha.png,"10,099~10,699만원 구매혜택
정보확인 내용 열고 닫기
보험료계산 광고
정보확인 내용 열고 닫기"
762,폭스바겐 더 비틀,준중형 쿠페,2016,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20170508_54%2Fauto_1494230867693j9vxM_PNG%2F20170508170725_3dRzHun0.png,"3,330~3,970만원 보험료계산 광고
정보확인 내용 열고 닫기"
763,폭스바겐 뉴 비틀,준중형 쿠페,2019,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20181206_216%2Fauto_1544060616765JHRh3_PNG%2F20181206104157_XtNXanBg.png,"23,045~25,995달러 보험료계산 광고
정보확인 내용 열고 닫기"
