title,rating,ratingPeople,drive,price,habitability,quality,design,fuel
현대 캐스퍼 일렉트릭,9.2,50,9.6,9.3,8.6,8.9,9.4,9.6
현대 캐스퍼,8.9,7,9.3,7.7,8.9,9.1,9.6,8.7
현대 에쿠스,8.8,491,9.4,8.8,9.4,9.2,9.4,6.8
현대 에쿠스,8.8,491,9.4,8.8,9.4,9.2,9.4,6.8
현대 더 뉴 아이오닉5,9.3,79,9.9,7.8,9.8,9.4,9.4,9.6
현대 아이오닉5,9.3,79,9.9,7.8,9.8,9.4,9.4,9.6
현대 엑센트,,,,,,,,
현대 뉴 엑센트,,,,,,,,
현대 엑센트,,,,,,,,
현대 베뉴,9,758,9.1,9.2,8.7,8.6,9.4,9
현대 벨로스터,7.9,285,9.8,8.9,6.2,7.7,9.2,5.7
현대 더 뉴 벨로스터,8.2,196,9.4,8.4,6.4,7.6,9.4,7.9
현대 벨로스터,7.9,285,9.8,8.9,6.2,7.7,9.2,5.7
현대 넥쏘,9.1,1043,9.6,8.8,8.9,8.8,9,9.3
현대 i30,,,,,,,,
현대 더 뉴 i30,,,,,,,,
현대 i30,,,,,,,,
현대 i30 cw,,,,,,,,
현대 i30,,,,,,,,
현대 더 뉴 아이오닉 일렉트릭,8.4,67,9.2,8.9,8.2,8.5,7.8,7.7
현대 더 뉴 아이오닉 하이브리드,9,191,8.9,8.8,8.4,8.9,8.9,9.8
현대 아이오닉 일렉트릭,8.4,67,9.2,8.9,8.2,8.5,7.8,7.7
현대 아이오닉 하이브리드,9,191,8.9,8.8,8.4,8.9,8.9,9.8
현대 더 뉴 i40,8.7,153,9,8,9,8.8,9.1,8.6
현대 더 뉴 i40 살룬,8.7,153,9,8,9,8.8,9.1,8.6
현대 i40 살룬,8.7,153,9,8,9,8.8,9.1,8.6
현대 i40,8.7,153,9,8,9,8.8,9.1,8.6
현대 더 뉴 맥스크루즈,8.9,531,9.2,8.8,9.4,9.1,9,7.7
현대 맥스크루즈,8.9,531,9.2,8.8,9.4,9.1,9,7.7
현대 아이오닉6,8.8,360,9.7,7.6,9,8.9,8.6,9.3
현대 쏠라티,,,,,,,,
현대 아슬란,8.9,355,9.5,9.1,9.6,9.4,8.9,6.8
현대 베라크루즈,9,908,9.6,9.1,9.4,9.5,8.5,7.8
현대 갤로퍼 2,8.3,21,8.1,8.4,8.6,8.3,9.4,6.8
