name,car_type,year,image,price
현대 아반떼 하이브리드,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_134%2Fauto_1744677854020RdN5R_PNG%2F20250415094407_9W84OGSq.png,"2,523~3,184만원"
현대 아반떼 HD,준중형 세단,2008,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_16%2Fauto_1497939473146E2BgJ_PNG%2F11239_2008_HD.png,"1,140~2,090만원"
현대 뉴 아반떼 XD,준중형 세단,2006,https://search.pstatic.net/common?quality=75&direct=true&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_205%2Fauto_1497939454053TujKI_PNG%2F12468_2006_XD_.png,"923~1,838만원"
현대 아반떼 XD,준중형 세단,2006,https://search.pstatic.net/common?quality=75&direct=true&src=http%3A%2F%2Fimgauto.naver.com%2F20170620_205%2Fauto_1497939454053TujKI_PNG%2F12468_2006_XD_.png,"923~1,838만원"
현대 올 뉴 아반떼,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 아반떼,준중형 세단,2026,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20250415_83%2Fauto_17446778054787Xeo6_PNG%2F20250415094318_JFFIizf8.png,"2,034~2,842만원"
현대 싼타페,중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240827_230%2Fauto_1724724431789AShlF_PNG%2F20240827110701_bEbt8XxV.png,"3,492~4,598만원"
현대 더 뉴 싼타페,중형 SUV,2025,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20240827_230%2Fauto_1724724431789AShlF_PNG%2F20240827110701_bEbt8XxV.png,"3,492~4,598만원"
현대 싼타페 TM,중형 SUV,2023,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220920_44%2Fauto_1663635599836nCm6w_PNG%2F20220920095951_1dlfdBag.png,"3,277~4,472만원"
현대 싼타페 더 프라임,중형 SUV,2016,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20190827_108%2Fauto_1566911484877w7s3C_PNG%2F20190827221121_Na1Z9Awk.png,"2,765~3,566만원"
현대 싼타페 DM,중형 SUV,2017,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20170508_254%2Fauto_1494217161053FuYzA_PNG%2F20170508131904_yQYycucn.png,"2,695~3,970만원"
